SchoolID,School,District,SchoolType,Enrollment,No_of_Program,FrRedLnch_PercentEligible,PercentofStudentsNotChronicallyAbsent,Subject,ParticipationRate2014to2015,PercentageMeetsORExceeds2014to2015
251,Bend Senior High School,Bend-LaPine Administrative SD 1,H,1713,1,47.75,72.6,Mathematics,88.8,26.1
251,Bend Senior High School,Bend-LaPine Administrative SD 1,H,1713,1,47.75,72.6,Science,3.6,92.9
906,Benson Polytechnic High School,Portland SD 1J,H,879,1,71.33,78.4,English Language Arts,54.5,57.8
906,Benson Polytechnic High School,Portland SD 1J,H,879,1,71.33,78.4,Mathematics,38.5,27.8
906,Benson Polytechnic High School,Portland SD 1J,H,879,1,71.33,78.4,Science,57.8,48.1
784,Bethany Charter School,Silver Falls SD 4J,E,134,1,,92.2,English Language Arts,94.2,70.4
784,Bethany Charter School,Silver Falls SD 4J,E,134,1,,92.2,Mathematics,94.2,51.9
784,Bethany Charter School,Silver Falls SD 4J,E,134,1,,92.2,Science,100,89.3
1156,Bethany Elementary School,Beaverton SD 48J,E,520,1,13.85,95,English Language Arts,98.5,81.6
1156,Bethany Elementary School,Beaverton SD 48J,E,520,1,13.85,95,Mathematics,98.2,81.5
1156,Bethany Elementary School,Beaverton SD 48J,E,520,1,13.85,95,Science,97.6,86.4
857,Beverly Cleary School,Portland SD 1J,E,834,2,10.07,95,English Language Arts,97.2,86.4
857,Beverly Cleary School,Portland SD 1J,E,834,2,10.07,95,Mathematics,96.8,78.9
857,Beverly Cleary School,Portland SD 1J,E,834,2,10.07,95,Science,98.8,92.2
3458,Big Muddy Elementary,Jefferson County SD 509J,E,19,1,,88.9,English Language Arts,100,77.8
3458,Big Muddy Elementary,Jefferson County SD 509J,E,19,1,,88.9,Mathematics,100,44.4
3458,Big Muddy Elementary,Jefferson County SD 509J,E,19,1,,88.9,Science,,
65,Bilquist Elementary School,North Clackamas SD 12,E,454,2,56.17,90,English Language Arts,97.8,65.6
65,Bilquist Elementary School,North Clackamas SD 12,E,454,2,56.17,90,Mathematics,97.8,45.1
65,Bilquist Elementary School,North Clackamas SD 12,E,454,2,56.17,90,Science,97.7,64.3
428,Black Butte Elementary School,Black Butte SD 41,E,29,1,,95,English Language Arts,100,73.7
428,Black Butte Elementary School,Black Butte SD 41,E,29,1,,95,Mathematics,100,68.4
428,Black Butte Elementary School,Black Butte SD 41,E,29,1,,95,Science,100,90.9
18,Blodgett Elementary School,Philomath SD 17J,E,29,1,,89.7,English Language Arts,100,33.3
18,Blodgett Elementary School,Philomath SD 17J,E,29,1,,89.7,Mathematics,100,33.3
192,Blossom Gulch Elementary School,Coos Bay SD 9,E,580,3,61.03,78.5,English Language Arts,100,37.8
192,Blossom Gulch Elementary School,Coos Bay SD 9,E,580,3,61.03,78.5,Mathematics,99.2,34.1
1272,Boeckman Creek Primary School,West Linn-Wilsonville SD 3J,E,456,5,40.57,88.9,English Language Arts,95.7,65.7
1272,Boeckman Creek Primary School,West Linn-Wilsonville SD 3J,E,456,5,40.57,88.9,Mathematics,96.1,51.4
1272,Boeckman Creek Primary School,West Linn-Wilsonville SD 3J,E,456,5,40.57,88.9,Science,97.9,86.3
573,Bohemia Elementary School,South Lane SD 45J3,E,506,1,77.47,90.9,English Language Arts,96.4,39.4
